"SiteID","Year","Visit","Detectable","ObserverID","alyobs","bomvar","bufbuf","epical","hylarb","ichalp","lishel","lisvul","pel_sp","pelrid","rantem","tricri"
1,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,1,1,30,1,1,1,0,0,1,0,0,1,0,1,0
3,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1999,1,1,30,1,0,0,0,0,1,1,0,0,0,1,0
15,1999,1,1,30,0,0,1,0,0,1,0,0,1,0,1,0
16,1999,1,1,30,1,0,1,0,0,1,0,0,0,0,1,0
17,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1999,1,1,30,1,0,1,0,0,1,0,0,0,0,1,0
20,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1999,1,1,30,0,0,0,0,0,1,0,0,0,0,1,0
23,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1999,1,1,30,1,1,1,0,0,1,0,0,0,0,1,0
26,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1999,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0
36,1999,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0
37,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1999,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0
39,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1999,1,1,27,0,0,1,0,0,1,0,0,0,0,1,0
41,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1999,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0
44,1999,1,1,18,1,0,1,0,0,1,0,0,0,0,1,0
45,1999,1,1,10,0,0,0,0,0,0,0,0,1,0,0,0
46,1999,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
47,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1999,1,1,25,0,0,0,0,0,0,0,0,1,0,0,0
49,1999,1,1,25,1,0,0,0,0,0,0,0,1,0,1,0
50,1999,1,1,27,0,1,0,0,0,0,0,0,0,0,0,0
51,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1999,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
