Pond,rich,shan,Area,Canopy,Fish,hydroperiod,year,HabTotal,rich.peak,div.peak
0.002,9,1.427276316,391,8.1875,N,4,y12,4,0,1
0.002,9,1.840558439,391,8.1875,N,4,y13,4,0,0
0.002A,6,1.299282437,24,44.625,N,2,y13,0,0,0
0.002A,3,0.81246511,24,44.625,N,2,y12,0,0,0
0.003,2,0.348832096,161,91.4375,N,1,y13,1,0,0
0.003,3,0.91101754,161,91.4375,N,1,y12,1,0,0
10,6,1.143173394,448,54.8125,N,4,y13,3,1,1
10,4,1.049275614,448,54.8125,N,4,y12,3,0,1
103,2,0.662965753,24,90.625,N,1,y12,1,0,0
103,4,0.923988965,24,90.625,N,1,y13,1,0,0
103A,4,0.850277585,24,92.25,N,2,y13,0,0,0
103A,2,0.678380473,24,92.25,N,2,y12,0,0,0
103B,5,1.318095261,18,73.5625,N,2,y13,1,0,0
103C,5,1.113195295,30,56.0625,N,2,y13,2,0,0
103D,6,1.290619762,24,65.375,N,2,y13,2,0,0
104,9,1.742077714,2205,29.875,N,4,y12,4,0,0
104,10,1.323916735,2205,29.875,N,4,y13,4,0,1
105,8,1.529356867,3240,2.0625,N,4,y12,2,1,0
105,11,1.413523355,3240,2.0625,N,4,y13,2,0,1
11,10,1.890384673,253,35.375,N,4,y13,4,0,0
11,13,1.752753118,253,35.375,N,4,y12,4,0,0
110,8,1.332368628,160,0.125,N,3,y13,3,1,1
110,1,0,160,0.125,N,3,y12,3,0,0
111,7,1.188116782,756,35.3125,N,4,y13,3,1,1
111,7,1.457203644,756,35.3125,N,4,y12,3,1,1
112,9,1.903670245,27,75.0625,N,3,y12,1,0,0
112,7,1.549397103,27,75.0625,N,3,y13,1,0,0
120,6,1.372436206,399,3.6875,N,2,y13,1,1,1
120,5,1.003429791,399,3.6875,N,2,y12,1,1,0
122,8,1.609384007,210,80.875,N,4,y12,2,1,0
122,6,0.978928711,210,80.875,N,4,y13,2,1,0
126,9,1.221535916,494,15.25,N,4,y13,5,0,1
126,9,1.910435699,494,15.25,N,4,y12,5,0,0
127,6,1.385111535,60,80.6875,N,3,y12,3,1,1
127,8,1.041724662,60,80.6875,N,3,y13,3,1,1
149,3,0.084579586,3388,84,Y,4,y12,1,0,0
149,2,0.02876517,3388,84,Y,4,y13,1,0,0
152,10,1.394445104,110,62.625,N,3,y12,1,0,1
152,11,1.672313796,110,62.625,N,3,y13,1,0,0
156,3,0.291139839,25900,23.25,Y,4,y13,4,0,0
156,5,1.048123227,25900,23.25,Y,4,y12,4,0,0
156A,1,0,220,66.375,Y,1,y13,1,0,0
156A,2,0.450561209,220,66.375,Y,1,y12,1,0,0
157,0,0,961,52.3125,Y,4,y12,3,0,0
157,0,0,961,52.3125,Y,4,y13,3,0,0
160,5,1.40090973,48200,8.8125,Y,4,y12,6,0,0
160,7,1.610012437,48200,8.8125,Y,4,y13,6,0,0
186,11,1.152213231,1850,13.8125,N,4,y13,3,0,1
186,9,1.600940851,1850,13.8125,N,4,y12,3,0,0
195,3,0.927617334,1485,12.8125,N,4,y13,3,0,0
195,4,1.083118327,1485,12.8125,N,4,y12,3,0,1
196,10,1.735813691,1575,50.4375,N,4,y12,3,0,0
196,5,0.879151805,1575,50.4375,N,4,y13,3,1,0
198,4,0.2547005,1080,32.4375,Y,4,y12,2,0,0
198,2,0.106565959,1080,32.4375,Y,4,y13,2,0,0
200,8,1.0309909,434,75.375,N,4,y12,3,1,1
200,9,1.676818223,434,75.375,N,4,y13,3,0,0
200A,1,0,33,73.8125,N,1,y13,1,0,0
200B,2,0.376770161,24,52.75,N,2,y13,1,0,0
201,5,1.468139939,1036,27.375,N,4,y13,4,1,1
201,5,1.447987114,1036,27.375,N,4,y12,4,1,1
202,5,0.820507396,924,78.125,N,4,y13,3,1,0
202,5,1.363414393,924,78.125,N,4,y12,3,1,1
203,3,0.439431766,2520,62.75,Y,4,y13,6,0,0
203,3,0.255441111,2520,62.75,Y,4,y12,6,0,0
208,3,1.077556327,144,61.875,N,3,y13,4,0,1
208,5,1.274259953,144,61.875,N,3,y12,4,1,1
209,11,2.128709403,874,41.125,Y,4,y13,3,0,0
209,6,1.481869756,874,41.125,Y,4,y12,3,1,1
212,6,0.896528712,1295,0,N,4,y13,3,1,0
212,6,1.472155037,1295,0,N,4,y12,3,1,1
213,6,1.137470775,130,81.75,N,4,y13,3,1,1
213,9,1.46171386,130,81.75,N,4,y12,3,0,1
215,2,0.257318641,1612,83.5625,Y,4,y13,1,0,0
215,3,0.980692661,1612,83.5625,Y,4,y12,1,0,0
216,9,1.818972592,231,68.6875,N,3,y12,3,0,0
216,8,1.464759738,231,68.6875,N,3,y13,3,1,1
219,10,1.370533288,1036,13.375,N,4,y12,2,0,1
219,7,1.344709403,1036,13.375,N,4,y13,2,1,1
222A,1,0,25,95.1875,N,1,y12,1,0,0
222A,2,0.661563238,25,95.1875,N,1,y13,1,0,0
224,12,1.751013465,324,30.125,N,4,y12,3,0,0
224,10,1.692823562,324,30.125,N,4,y13,3,0,0
228,8,1.421778013,396,45.5,N,4,y13,3,1,1
228,10,1.745909834,396,45.5,N,4,y12,3,0,0
229,4,1.252451073,85,64.625,N,3,y12,4,0,1
229,7,1.212038308,85,64.625,N,3,y13,4,1,1
232,5,0.125301108,363,52.3125,Y,4,y13,3,1,0
232,4,0.779699014,363,52.3125,Y,4,y12,3,0,0
233,5,1.480729331,35,50.4375,N,3,y13,2,1,0
233,7,1.462419125,35,50.4375,N,3,y12,2,1,0
237,7,0.609986097,150,57.375,N,2,y13,1,1,0
237,1,0,150,57.375,N,2,y12,1,0,0
238,13,1.493511861,378,57.5625,N,4,y12,2,0,0
238,7,1.136221065,378,57.5625,N,4,y13,2,1,1
242,9,1.528246793,175,39.9375,N,4,y12,3,0,0
242,9,1.643327281,175,39.9375,N,4,y13,3,0,0
245,9,1.55776315,450,6.375,N,3,y12,3,0,0
245,10,1.791643436,450,6.375,N,3,y13,3,0,0
246,8,1.342654292,728,75.0625,N,4,y12,2,1,1
246,7,0.779298364,728,75.0625,N,4,y13,2,1,0
246A,2,0.376770161,4,87.5,N,1,y12,0,0,0
246A,1,0,4,87.5,N,1,y13,0,0,0
